Question,Option A,Option B,Option C,Option D,Correct Answer
What is the primary material used as the cathode in the study?,$\mathrm{LiFePO_4}$,$\mathrm{LiNi_{0.83}Co_{0.12}Mn_{0.05}O_{2}}$ ($\mathrm{NCM83}$),$\mathrm{LiMn_2O_4}$,$\mathrm{LiCoO_2}$,Option B
"The main issue that $\mathrm{Ni}$-rich layered oxides, like NCM83, face at high operating voltages is:",Low energy density,Poor thermal stability and structural degradation,Low cost of materials,Slow charging kinetics,Option B
What technique is commonly employed to improve the electrochemical performance of $\mathrm{Ni}$-rich layered oxide cathodes?,Bulk doping,Electrode compaction,Surface coating,Decreasing the $\mathrm{Ni}$ content,Option C
What is the preferred film thickness range for effective surface coatings on cathode materials in lithium-ion batteries?,$50-100 \mathrm{~nm}$,$1-5 \mathrm{~nm}$ (sub-nanometer to nanometer),Micrometer scale,Angstrom scale only,Option B
Atomic Layer Deposition (ALD) is utilized for surface coating due to its ability to achieve what characteristic on complex morphologies?,Low conformality,High conformality and precise thickness control,Low throughput,High operating temperature,Option B
"Which oxidant, besides $\mathrm{H_2O}$, is used for the $\mathrm{ALD}$ of $\mathrm{Al_2O_3}$ in this study?",$\mathrm{O_2}$ plasma,Ozone ($\mathrm{O_3}$),Hydrogen peroxide ($\mathrm{H_2O_2}$),Nitrous oxide ($\mathrm{N_2O}$),Option B
"Compared to $\mathrm{H_2O}$-based $\mathrm{ALD}$, $\mathrm{O_3}$-based $\mathrm{ALD}$ is known to produce films with:",Lower density and poor uniformity,Higher density and lower carbon impurities,Higher carbon impurities and poor stability,A faster deposition rate,Option B
The study highlights the difference in what two $\mathrm{Al_2O_3}$ film properties based on the oxidant used ($\mathrm{H_2O}$ vs. $\mathrm{O_3}$)?,Color and texture,Thickness and cost,Nucleation mechanism and film density,Volatility and viscosity,Option C
What is the precursor used for the aluminum source in both $\mathrm{H_2O}$-based and $\mathrm{O_3}$-based $\mathrm{ALD}$?,$\mathrm{AlCl_3}$,Diethylaluminum ethoxide (DEAE),Trimethylaluminum (TMA),Aluminum isopropoxide,Option C
"In the $\mathrm{H_2O}$-based $\mathrm{Al_2O_3}$ $\mathrm{ALD}$ on NCM83, the nucleation process is characterized by:",Sparse nuclei and big nuclei size,Dense nuclei and fast merging,Non-existent nucleation,Layer-by-layer growth from the start,Option B
What is the byproduct of the TMA pulse in $\mathrm{H_2O}$-based $\mathrm{ALD}$ on hydroxyl ($\mathrm{OH}$) terminated surfaces?,$\mathrm{H_2O}$,$\mathrm{CO_2}$,$\mathrm{CH_4}$ (methane),$\mathrm{H_2}$,Option C
"In the $\mathrm{O_3}$-based $\mathrm{Al_2O_3}$ $\mathrm{ALD}$ on NCM83, the nucleation process is characterized by:",Dense nuclei and fast merging,Non-existent nucleation,Sparse nuclei and slow merging,Rapid thermal decomposition,Option C
Which $\mathrm{ALD}$ coating is hypothesized to alleviate electrolyte corrosion while leaving $\mathrm{Li}$ channels relatively unblocked?,The $\mathrm{H_2O}$-based coating,The $\mathrm{O_3}$-based coating,The $\mathrm{ALD}$ coating is not meant to alleviate corrosion,A coating thicker than $10 \mathrm{~nm}$,Option B
The optimal number of $\mathrm{ALD}$ cycles for the $\mathrm{O_3}$-based coating was found to be:,2 cycles,4 cycles,6 cycles,8 cycles,Option C
