Question,Option A,Option B,Option C,Option D,Correct Answer
What is the primary material selectively deposited within the trenches in this study?,$\mathrm{Al_2O_3}$,$\mathrm{SiO_2}$,$\mathrm{TiO_2}$,Amorphous Carbon ($\mathrm{aC}$),Option C
What technique is the TSD method presented in this paper based on?,Chemical Vapor Deposition ($\mathrm{CVD}$),Sputtering,Atomic Layer Deposition ($\mathrm{ALD}$),Evaporation,Option C
What material is used as the temporary inhibition layer on the top surface of the trench?,Silicon Dioxide ($\mathrm{SiO_2}$),Amorphous Carbon ($\mathrm{aC}$),Silicon Nitride ($\mathrm{Si_3N_4}$),Platinum ($\mathrm{Pt}$),Option B
The selectivity of the $\mathrm{aC}$ inhibition layer deposition is achieved by exploiting the requirement for what type of synergy?,Thermal-chemical synergy,Ion-radical synergy,Pressure-temperature synergy,Electric field synergy,Option B
Area-Selective Deposition ($\mathrm{ASD}$) typically relies on differences in what material property?,Thickness,Density,Chemical character,Mechanical strength,Option C
Topographically Selective Deposition ($\mathrm{TSD}$) focuses on differences in what aspect of the surface?,Surface orientation and location,Surface conductivity,Surface roughness,Surface crystal structure,Option A
The $\mathrm{aC}$ layer inhibits $\mathrm{ALD}$ growth because it lacks suitable sites for what component?,Oxygen plasma,Ions,ALD precursors,Water co-reactant,Option C
What is the $\mathrm{ALD}$ precursor used for the deposition of $\mathrm{TiO_2}$ in this work?,$\mathrm{TiCl_4}$,Tetrakis(dimethylamino)titanium (TDMAT),Titanium isopropoxide (TTIP),Diethylaluminum ethoxide (DEAE),Option B
What is the co-reactant used with TDMAT for the $\mathrm{TiO_2}$ $\mathrm{ALD}$ process?,$\mathrm{O_2}$ plasma,$\mathrm{NH_3}$,$\mathrm{H_2O}$,$\mathrm{Ar}$ gas,Option C
What method is used to selectively deposit the $\mathrm{aC}$ inhibition layer on the horizontal surfaces?,Thermal $\mathrm{CVD}$,Pulsed Plasma-Enhanced $\mathrm{CVD}$ ($\mathrm{PE-CVD}$),Atomic Layer Etching ($\mathrm{ALE}$),Sputtering,Option B
The $\mathrm{aC}$ deposition is restricted to the top surface and does not occur on the sidewalls primarily due to the lack of what?,Methyl radicals,ALD precursor,Ion bombardment,High temperature,Option C
